PFAS_type,PFAS_abbreviations,PFAS_full_namee,PFAS_CAS_no,PFAS_group,PFAS_carbon_chain,PFAS_comment
Hydro-Eve,Hydro-Eve,"2,2,3,3-Tetrafluoro-3-((1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl)oxy) propanoic acid",773804-62-9,Fluorinated polymers,8,
6:2FTS/FTSA,6:2 FTS/FTSA,"h,1h,2h,2h-Perfluorooctane sulfonic acid",27619-97-2,Fluorotelomer Sulfonates (FTSs),8,
8:2FTS/FTSA,8:2 FTS/FTSA,2-(Perfluorooctyl)ethane-1-sulfonic acid,39108-34-4,Fluorotelomer Sulfonates (FTSs),10,
FOSA,FOSA/PFOSA,Perfluorooctanesulfonamide,754-91-6,Perfluoroalkane sulfonamides (FASAs),8,
NEtFOSA,NEtFOSA,N-ethyl perfluorooctanesulfonamide,223-980-3,Perfluoroalkane sulfonamides (FASAs),10,
NMeFOSA,NMeFOSA,N-methyl fluorooctane sulfonamide,31506-32-8,Perfluoroalkane sulfonamides (FASAs),8,
PFBS,PFBS/ PFBuS,Perfluorobutane sulfonic acid,375-73-5,Perfluoroalkane sulfonic acids (PFSA),4,
PFPeS,PFPeS,Perfluoropentane sulfonic acid,2706-91-4,Perfluoroalkane sulfonic acids (PFSA),5,
PFHxS,PFHxS,Perfluorohexane sulfonic acid,355-46-4,Perfluoroalkane sulfonic acids (PFSA),6,
PFHpS,PFHpS,Perfluoroheptane sulfonic acid,375-92-8,Perfluoroalkane sulfonic acids (PFSA),7,
PFOS,PFOS,Perfluorooctane sulfonic acid,1763-23-1,Perfluoroalkane sulfonic acids (PFSA),8,
PFNS,PFNS,Perfluorononane sulfonic acid,68259-12-1,Perfluoroalkane sulfonic acids (PFSA),9,
PFDS,PFDS,Perfluorodecane sulfonic acid,335-77-3,Perfluoroalkane sulfonic acids (PFSA),10,
PFECHS,PFECHS,Perfluoroethylcyclohexane sulfonic acid,335-24-0,Perfluoroalkane sulfonic acids (PFSA),8,
PFBA,PFBA,Perfluorobutanoic/ perfluorobutyric acid,375-22-4,Perfluoroalkyl carboxylic acids (PFCA),3,
PFPeA,PFPeA,Perfluoro-n-pentanoic acid,2706-90-3,Perfluoroalkyl carboxylic acids (PFCA),5,
PFHxA,PFHxA,Perfluorohexanoic acid,307-24-4,Perfluoroalkyl carboxylic acids (PFCA),6,
PFHpA,PFHpA,Perfluoroheptanoic acid,375-85-9,Perfluoroalkyl carboxylic acids (PFCA),7,
PFOA,PFOA,Perfluorooctanoic acid,335-67-1,Perfluoroalkyl carboxylic acids (PFCA),8,
PFNA,PFNA,Perfluorononanoic acid,375-95-1,Perfluoroalkyl carboxylic acids (PFCA),9,
PFDA,PFDcA/ PFDeA/ PFDcA,Perfluorodecanoic acid,335-76-2,Perfluoroalkyl carboxylic acids (PFCA),10,
PFUnDA,PFUnDA/PFUnA/ PFUA/ PFUdA,Perfluoroundecanoic acid,2058-94-8,Perfluoroalkyl carboxylic acids (PFCA),11,
PFDoDA,PFDoA/PFDoDA,Perfluorododecanoic acid,307-55-1,Perfluoroalkyl carboxylic acids (PFCA),12,
PFTrA,PFTrDA/ PFTriDA/ PFTrA,Perfluorotridecanoic acid,72629-94-8,Perfluoroalkyl carboxylic acids (PFCA),13,
PFTA,PFTA/ PFTeDA/PFTeA,Perfluorotetradecanoic acid,376-06-7,Perfluoroalkyl carboxylic acids (PFCA),14,
6:2Cl-PFESA,6:2Cl-PFESA (F-53B),6:2 Chlorinated polyfluoroalkyl ether sulfonate,73606-19-6,Perfluoroalkyl ether sulfonic acids,8,
8:2Cl-PFESA,8:2 Cl-PFESA,8:2 Chlorinated polyfluorinated ether sulfonate,83329-89-9,Perfluoroalkyl ether sulfonic acids,10,
NafionBP2,Nafion BP2,Nafion Byproduct 2,749836-20-2,Perfluoroalkyl ether sulfonic acids,7,
6:6PFPIA,6:6PFPIA,Bis(perfluorohexyl)phosphinic acid,40143-77-9,Perfluoroalkyl phosphinic asids (PFPiAs),12,
6:8PFPIA,6:8PFPIA,Perfluorohexylperfluorooctylphosphinic acid,610800-34-5,Perfluoroalkyl phosphinic asids (PFPiAs),14,
PFO4DA,PFO4DA,"Perfluoro-3,5,7,9-tetraoxadecanoic acid",39492-90-5,Perfluoroether alkane carboxylic acids,6,
PFO5DoDA,PFO5DoDA,"Perfluoro-3,5,7,9,11-pentaoxadodecanoic acid",39492-91-6,Perfluoroether alkane carboxylic acids,7,
GenX,HFPO-DA (GenX),Hexafluoropropylene Oxide (HFPO) Dimer Acid,13252Ð13Ð6,Perfluoroether alkane carboxylic acids,6,
HFPO-TA,HFPO-TA,Hexafluoropropylene Oxide (HFPO) Trimer Acid,13252-14-7,Perfluoroether alkane carboxylic acids,9,
ADONA,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",958445-44-8,Polyfluoroalkyl substances derivates,7,
