Study_ID,Q1. Are the research questions and inclusion criteria for the review clearly delineated?,Q1_Comment,Q2. Did the report of the review contain an explicit statement that the review methods were established prior to the conduct of the review and did the report justify any significant deviations from the protocol?,Q2_Comment,Q3. Did the review authors explain their selection of the study designs for inclusion in the review?,Q3_Comment,Q4. Did the review authors use a comprehensive literature search strategy?,Q4_Comment,Q5. Did the review authors perform study selection in duplicate?,Q5_Comment,Q6. Did the review authors perform data extraction in duplicate?,Q6_Comment,Q7. Did the review authors provide a list of excluded studies and justify the exclusions?,Q7_Comment,Q8. Did the review authors describe the included studies in adequate detail?,Q8_Comment,Q9. Did the review authors use a satisfactory technique for assessing the risk of bias (RoB) in individual studies that were included in the review?,Q9_Comment,Q10. Did the review authors report on the sources of funding for the studies included in the review?,Q10_Comment,Q11. If meta-analysis was performed did the review authors use appropriate methods for statistical combination of results?,Q11_Comment,"Q12. If meta-analysis was performed, did the review authors assess the potential impact of RoB in individual studies on the results of the meta-analysis or other evidence synthesis?",Q12_Comment,Q13. Did the review authors account for RoB in individual studies when interpreting/ discussing the results of the review?,Q13_Comment,"Q14. Did the review authors provide a satisfactory explanation for, and discussion of, any heterogeneity observed in the results of the review?",Q14_Comment,Q15. If they performed quantitative synthesis did the review authors carry out an adequate investigation of publication bias (small study bias) and discuss its likely impact on the results of the review?,Q15_Comment,"Q16. Did the review authors report any potential sources of conflict of interest, including any funding they received for conducting the review?",Q16_Comment,
S_001,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.","""(1)Exposures: Chemicals that by the European Commission are classified
as Category 1 endocrine disruptors with high concern in terms of
human or wildlife exposure (McCarthy, 2011). Category 1 compounds
are defined as chemicals where at least one study has shown endocrine
effects in an intact organism. The EU report lists 60 Category 1 substances
(29 chemical groups) that are highly persistent or have high
current production volume (McCarthy, 2011). In addition we include
the polyfluorinated chemicals, a group of ubiquitous biopersistent
emerging endocrine disruptors (White et al., 2011) that are receiving
increasing attention. Table I lists the specific chemical substances with
abbreviations that are referenced in the text and in Tables II–VII.
(2) Outcomes: Cryptorchidism (one or both testicles undescended)
ascertained at birth or during childhood, hypospadias, testicular cancer
regardless of histological subgroup, and sperm count (number of
spermatozoa per volume or mass unit of seminal fluid).
(3) Exposure to specific chemicals in utero or in the first year of life (postnatal
exposure) documented by measurements in biological specimens (maternal blood or urine, placenta or fat tissue as well as amnion fluid, cord blood or breast milk). In addition serum concentrations in adult life as proxies for fetal or early life exposure were
also included for testicular cancer.
(4) Outcome ascertainment by medical standardized examination or
antecedent medical records or reporting to health registries.
(5) Risk estimates (rate risk [RR], OR, hazard ratio [HR]) for an outcome
according to higher versus lower levels of prenatal and postnatal
exposure defined by exposure contrasts within the given study.
Studies reporting alternative measures of association such as difference
in mean values of exposure levels in cases and controls were
also included, and the authors were contacted to get risk estimates
(Hosie et al., 2000; Damgaard et al., 2006; Main et al., 2007;
Choi et al., 2012; Fenichel et al., 2012; Komarowska et al., 2015;
Virtanen et al., 2012). Several authors responded positively but
reanalysis of the original data could not be accomplished within the
given time-frame and the studies were therefore not included in the
present review.""
","1 = “Yes” = The authors state that they had a written protocol or guide that included ALL the following: review question(s), a search strategy, inclusion/exclusion criteria, risk of bias assessment.","""A review protocol was registered at PROSPERO.org with registration
number CRD4201603742 prior to initiation of the review process, on 12
April 2016 with amendments on 12 May 2016 (CRD420160374X). The
amendments specified the four main hypotheses, provided details on sensitivity
analyses and discarded the initial idea to analyze data according to
estrogenic or anti-androgenic activity of measured compounds which
proved non-feasible. The protocol was updated before the review process
and data analysis were initiated.""",0 = ”No” = no justification of the study designs/types included in the review.,"Exclusion criteria: ""In vitro and in vivo experimental studies."", no justification","0.5 = “Can’t answer / not sure / partially” = searched at least 2 databases (relevant to research question), provided key word and/or general search strategy, justified publication restrictions (e.g., language).","The databases PubMed and Embase were used as they cover the vast
majority of relevant journals for the subject.'; 'We conducted a systematic search of original peer-reviewed original papers in English'; Table S1 (search strings)","1 = “Yes” = either ONE of the following: at least two reviewers independently agreed on selection of eligible studies and achieved consensus on which studies to include OR two reviewers selected a sample of eligible studies and achieved good agreement (at least 80%), with the remainder selected by one reviewer.",Two authors (JPB and EVB) sifted titles and abstracts independently to assess eligibility'.,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.",Not mentioned.,1 = “Yes” = provided a list of all potentially relevant studies that were read in full-text form but excluded from the review AND justified the exclusion from the review of each potentially relevant study.,SUPPLEMENTARY TABLE 2,"1 = “Yes” = ALL the following: Who (Population), What (Intervention, Comparator group, Outcome), Where and When described in detail.",Tables 2 -6,1 = “Yes” = specifically mentions RoB assessment of individual included studies.,"Risk of bias across studies was evaluated by means of funnel plots to
assess risk of publication bias'; Exposure contrast: Studies contrasting exposure levels by the median split rather than by at least exposure-tertiles were considered at risk
of bias towards the null because of insufficient exposure contrast. ",0 = ”No” = no report of the sources of funding for individual studies included in the review.,Not mentioned.,1 = “Yes” = The authors justified combining the data in a meta-analysis AND they used an appropriate technique to combine study results and adjusted for heterogeneity if present AND investigated the causes of any heterogeneity or adjusted for heterogeneity or confounding if present.,"In sensitivity analyses, we: (i) regrouped compounds into persistent or
rapidly metabolised substances with half-lives in the range of hours; (ii)
excluded studies with blood sampling after the diagnosis of testicular cancer;
(iii) examined the effect of each study on the overall estimate by
excluding the studies one at a time; (iv) performed separate analyses of
studies with high completeness of reporting and lower risk of bias and
confounding as defined above; and (v) performed separate analyses of
large case-referent studies with at least 75 cases.
We computed a common risk estimate across studies by weighing
the risk ratio (RR) or equivalent (OR or HR) by the inverse variance
computed from the mean of the provided confidence limits. This is justified
because the outcomes are rare (prevalence <5%). Random effects
estimates are presented regardless of tests for heterogeneity since all
studies are conceptually heterogeneous. Nevertheless we also provide
I2 statistics as a formal measure of heterogeneity. Bootstrapping techniques
were used in analyses where the same study yielded more than
one risk estimate, to account for multiple risk estimates per person in
studies where risk estimates were reported for several compounds or
outcomes. Bootstrapping with 500 repeats was applied by sampling
among all included risk estimates, ensuring that each study only contributed
one risk estimate to each bootstrapping step. Mean values across
bootstrapped steps were used as overall measures of common risk estimates
and confidence limits. These analyses were repeated for each
outcome to account for heterogeneity in the exposure–outcome
relation.'",1 = “Yes” = included only low risk of bias studies OR the authors performed analyses to investigate possible impact of RoB on summary estimates of effect.,"Risk of bias across studies was evaluated by means of funnel plots to
assess risk of publication bias.'",1 = “Yes” = included only low risk of bias studies OR the review provided a discussion of the likely impact of RoB on the results.,"Since we only included studies that documented exposure by
objective analysis of compounds in biological media, the often
encountered risk of bias due to differential recall of exposure or outcome
was bypassed.'",1 = “Yes” = There was no significant heterogeneity in the results OR if heterogeneity was present the authors performed an investigation of sources of any heterogeneity in the results and discussed the impact of this on the results of the review.,"This
method does not provide statistics for heterogeneity which is considered
less of a problem since study populations and risk estimates
Review on EDC and male reproduction 121
Downloaded from https://academic.oup.com/humupd/article/23/1/104/2605945 by University of New South Wales user on 28 October 2020
obviously are heterogeneous. Therefore, we used random effects
models rather than fixed effects models in all analyses. In spite of
strong heterogeneity across studies with respect to study populations,
exposures and outcomes, it is remarkable that all summary risk
estimates from substance and outcome specific supplementary analyses
are of similar magnitude spanning a relative risk from 1.03 to
1.26 when ignoring one outlying observation.'",1 = “Yes” = The authors performed graphical or statistical tests for publication bias and discussed the likelihood and magnitude of impact of publication bias.,"A funnel plot revealed some
indication of publication bias as studies with few cases and large
standard errors seemed overrepresented among studies with elevated
risk estimates (Fig. 2).'; 'The two main reasons for rating some studies at a higher
risk of confounding was either due to lack of or insufficient adjustment
for potential confounding factors such as maternal age and prematurity
in case of congenital malformations with unpredictable
direction of bias or small study size that was not justified by power
calculations which may increase the risk of publication bias.'",1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,Conflict of interest statement; Funding: The review was funded by InterReq ReproUnion (NYPS 20200407).,
S_002,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.",,"0 = ”No” = no mention of a priori design of the systematic review, as listed above.",,0 = ”No” = only one online source or no supplementary search used,,"0 = ”No” = no information on search strategy, or not fulfilling criteria for “Yes” and “Partially”.",,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,,0 = ”No” = No list of studies excluded at a full-text stage.,,"0 = ”No” = no, or partial description of the included studies",,0 = ”No” = no mention of RoB assessment of individual included studies.,,0 = ”No” = no report of the sources of funding for individual studies included in the review.,,"0.5 = “Can’t answer / not sure / partially” = Requirements for “Yes” only partially fulfilled. Cannot decide between “yes” and “no”, basing on the information provided in the paper.",,0 = ”No” = no assessment of the potential impact of RoB.,,0 = ”No” = no discussion of the potential impact of RoB in individual studies.,,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","The log P/LC50 correlation analysis was broken down further by categorizing the LC50 values based upon the time point when the lethality was assessed (24, 48, 72, 96 and >96 hours post fertilization (hpf)).",0 = ”No” = The authors did not perform any tests for publication bias and did not discuss potential impact of publication bias.,,"0 = ”No” = The authors did not provide statement on competing interests and funding sources, and how they managed potential conflicts of interest.",,
S_003,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.",,"0 = ”No” = no mention of a priori design of the systematic review, as listed above.",,0 = ”No” = no justification of the study designs/types included in the review.,,"0 = ”No” = no information on search strategy, or not fulfilling criteria for “Yes” and “Partially”.",,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,,0 = ”No” = No list of studies excluded at a full-text stage.,,"0 = ”No” = no, or partial description of the included studies",,0 = ”No” = no mention of RoB assessment of individual included studies.,,0 = ”No” = no report of the sources of funding for individual studies included in the review.,,1 = “Yes” = The authors justified combining the data in a meta-analysis AND they used an appropriate technique to combine study results and adjusted for heterogeneity if present AND investigated the causes of any heterogeneity or adjusted for heterogeneity or confounding if present.,,0 = ”No” = no assessment of the potential impact of RoB.,,0 = ”No” = no discussion of the potential impact of RoB in individual studies.,,1 = “Yes” = There was no significant heterogeneity in the results OR if heterogeneity was present the authors performed an investigation of sources of any heterogeneity in the results and discussed the impact of this on the results of the review.,The authors calculated I2. I2 was high. They did metaregression and discussed the outcome.,0 = ”No” = The authors did not perform any tests for publication bias and did not discuss potential impact of publication bias.,,1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,,
S_004,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.","""1) an observational study design was implemented, including case-controlled or cohort studies; 2) exposure to at least one PFAS (e.g., perfluoroalkyl acids [PFAAs], per- fluoroalkyl ether sulfonic acids [PFESAs], and perfluoroalkane sulfo- namido substances) was observed; 3) PFAS exposure was measured during pregnancy using a maternal blood sample (e.g., serum, plasma, or whole blood); 3) outcomes were diseases of mothers or their offspring as described in online Appendix B; and 4) risk estimates were provided, including the odds ratio (OR), relative risk (RR), or hazard ratio (HR) with 95% confidence intervals (CIs). We excluded 1) studies that con- tained overlapping data (study with the largest dataset was reserved) and 2) laboratory studies, nonhuman animal research, letters, or review articles.""","0 = ”No” = no mention of a priori design of the systematic review, as listed above.",NA,0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no” basing on the information provided in the paper.,"study design not justified, but RCT not possible in humans","0.5 = “Can’t answer / not sure / partially” = searched at least 2 databases (relevant to research question), provided key word and/or general search strategy, justified publication restrictions (e.g., language).",3 databases plus manual search of reference lists,"1 = “Yes” = either ONE of the following: at least two reviewers independently agreed on selection of eligible studies and achieved consensus on which studies to include OR two reviewers selected a sample of eligible studies and achieved good agreement (at least 80%), with the remainder selected by one reviewer.",two reviewers screened independently,"1 = “Yes” = either ONE of the following: at least two reviewers achieved consensus on which data to extract from included studies OR two reviewers extracted data from a sample of eligible studies and achieved good agreement (at least 8 %), with the remainder extracted by one reviewer.",two reviewers extracted independently,0 = ”No” = No list of studies excluded at a full-text stage.,No list provided,"1 = “Yes” = ALL the following: Who (Population), What (Intervention, Comparator group, Outcome), Where and When described in detail.",Table1 & Table S1,1 = “Yes” = specifically mentions RoB assessment of individual included studies.,"""The methodological quality of case-controlled and cohort studies was assessed using the Newcastle-Ottawa Quality Assessment Scale (NOS).""",0 = ”No” = no report of the sources of funding for individual studies included in the review.,No report of funding sources,"0.5 = “Can’t answer / not sure / partially” = Requirements for “Yes” only partially fulfilled. Cannot decide between “yes” and “no”, basing on the information provided in the paper.","No justification for the use of fixed models, no adjustment for heterogeneity",1 = “Yes” = included only low risk of bias studies OR the authors performed analyses to investigate possible impact of RoB on summary estimates of effect.,"""Egger’s and Begg’s linear regression asymmetry tests (Egger et al., 1997), and identified publication bias was adjusted using the trim-and-fill method.""",0 = ”No” = no discussion of the potential impact of RoB in individual studies.,Not mentioned,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","The authors did a subset analysis, but provided limited discussion of the results.","0.5 = “Can’t answer / not sure / partially” = more than one online source but no supplementary sources or one online source and one supplementary source. Cannot decide between “yes” and “no”, basing on the information provided in the paper.","Tests for publication bias performed, but results were not discussed",1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,Declaration of competing interest,
S_005,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","""For inclusion in this review we required serum, blood, or breast milk concentrations of PFAS that were measured Int. J. Environ. Res. Public Health 2017, 14, 691 3 of 22 concomitantly with the health outcome (e.g., serum PFAS and triglyceride concentrations) or early in life and associated with a later health outcome (e.g., PFAS in cord blood and behavioral outcomes in children). Studies were also required to report effect estimates in children under 18 years of age (selected effect estimates are presented in Supplementary Materials Table S1). Because there have been several recent reviews of birth outcomes, specifically of fetal growth, in association with PFAS, birth outcomes were not included as part of this review.""","0 = ”No” = no mention of a priori design of the systematic review, as listed above.",Not mentioned,0 = ”No” = no justification of the study designs/types included in the review.,not mentioned,"0 = ”No” = no information on search strategy, or not fulfilling criteria for “Yes” and “Partially”.",The authors used PubMed only.,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,not mentioned,0 = ”No” = only one reviewer involved in the study selection or no description how many reviewers participated in study selection.,"one reviewer determined study quality, another one checked, other extractions are not mentioned",0 = ”No” = No list of studies excluded at a full-text stage.,No list provided,"0.5 = “Can’t answer / not sure / partially” = Who (Population), What (Intervention, Comparator group, Outcome), Where and When briefly described, or only some of these described in detail. Cannot decide between “yes” and “no”, basing on the information provided in the paper.","The authors only partially described the included studies, they only reported selected outcomes (supplementary tables)",1 = “Yes” = specifically mentions RoB assessment of individual included studies.,"Information in supplementary material: ""The risk of bias criteria in our guidelines were directly adapted from a systematic review of PFOA effects on fetal growth [Johnson et al., 2014], which developed its risk of bias framework from the Cochrane Collaboration’s Risk of bias tool and the Agency for Healthcare Research and Quality’s criteria [Higgins and Green, 2011; Viswanathan et al., 2012]. The guidelines outline seven potential biases with specific criteria for a low risk of bias determination within each category.""",0 = ”No” = no report of the sources of funding for individual studies included in the review.,It's not clearly reported.,N/A = “Not Applicable” = No meta-analysis conducted.,NA,N/A = “Not Applicable” = No meta-analysis conducted.,NA,1 = “Yes” = included only low risk of bias studies OR the review provided a discussion of the likely impact of RoB on the results.,"""Limitations of the studies reviewed here include, in particular, issues of selection bias, exposure assessment, and the potential for conflict of interest. Many studies had non‐response issues or loss to assessment, and the potential for conflict of interest.""","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.",Heterogeneity is discussed but not in enough detail.,N/A = “Not Applicable” = No meta-analysis conducted.,NA,1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,Statement of conflict of interest,
S_006,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.","""We used the PICOS framework (Liberati et al., 2009) to establish the criteria for selecting the studies to be included in this review, since it of- fers a structured approach for framing questions using five components, as follows. Participants: Pregnant women and children up to 19 years old. Studies on general or occupational populations were also eligible if results were stratified by sex (specifying the pregnant status of women) or age of the children, and only those results were included in this review. Exposures: Studies on direct measurement of PFAS in a bi- ological matrix or indirect exposure estimations. Comparators: Continu- ous PFAS levels or groups categorized according to individual PFAS levels. Outcomes: TH levels (thyroid-stimulating hormone [TSH], total triiodothyronine [TT3], free T3 [FT3], thyroxin [T4], and free T4 [FT4]) or thyroid dysfunctions. Study design: Cross-sectional, case-control, and cohort studies.""","0.5 = “Can’t answer / not sure / partially” = The authors state that they had a written protocol or guide that included ALL the following: review question(s), a search strategy, inclusion/exclusion criteria, a risk of bias assessment.","Insufficient information: ""We developed a protocol and performed a systematic review""",0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no” basing on the information provided in the paper.,"Description, but no justification of study design: ""Study design: Cross-sectional, case-control, and cohort studies.""","0 = ”No” = no information on search strategy, or not fulfilling criteria for “Yes” and “Partially”.",The authored used PubMed only.,"1 = “Yes” = either ONE of the following: at least two reviewers independently agreed on selection of eligible studies and achieved consensus on which studies to include OR two reviewers selected a sample of eligible studies and achieved good agreement (at least 80%), with the remainder selected by one reviewer.","""Two reviewers screened the titles and abstracts independently.""","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","""Data were abstracted by one reviewer and checked by the other two, and all of them also assessed the methodological quality of the articles that were finally included.""",0 = ”No” = No list of studies excluded at a full-text stage.,No list or justification provided.,"1 = “Yes” = ALL the following: Who (Population), What (Intervention, Comparator group, Outcome), Where and When described in detail.","""Tables 1–5 and Fig. 1 summarize the data extracted from the select- ed articles, which include information on design, location, sample size, date, outcomes, PFAS, matrices, time of sample collection, statistical analyses, covariates included in the models, and main findings (estimates of the fully adjusted models are presented in tables).""",1 = “Yes” = specifically mentions RoB assessment of individual included studies.,STROBE,0 = ”No” = no report of the sources of funding for individual studies included in the review.,This information was not extracted.,N/A = “Not Applicable” = No meta-analysis conducted.,NA,N/A = “Not Applicable” = No meta-analysis conducted.,NA,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","The authors mentioned the exclusion of one study due to low quality, they did not assess quality of the other studies. ","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","The authors provide some, but insufficient discussion: e.g.: ""In conclusion, heterogeneity was found across studies in terms of study design, study setting, timing of PFAS exposure assessment, timing and type of thyroid-related outcome assessment, adjustment for potential confounders, and statistical approach. As a consequence, there were insufficient numbers of comparable studies in each population group except for two cases: mothers and 11–19- year-old children.""",N/A = “Not Applicable” = No meta-analysis conducted.,NA,1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,Statement of conflict,
S_007,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.","""Selection criteria were based on the PICOS (Participants, Intervention/exposure, Comparisons, Outcomes, Study designs) criteria (Liberati et al. 2009) and included: Participants: Women and men. Intervention/exposure: PFASs measured in biological samples (e.g., blood) in adulthood. Studies were excluded if they estimated exposure indirectly (e.g., from residence or other proxy exposure markers). All PFASs were eligible. Comparisons: Studies comparing individuals based on their levels of PFASs, i.e., comparing groups categorized according to PFAS exposure levels (e.g., dichotomized or divided into tertiles or quartiles), or studies reporting outcomes according to differences in PFAS exposure levels on a continuous scale (including linear, log-transformed, or standardized PFAS levels). Outcomes: TTP (men and women), reproductive hormone levels (men and women) and semen parameters (men). These outcomes were chosen based on consensus in the author group. Study designs: Original human studies providing mea- sures of association between PFAS levels and human reproductive outcomes, regardless of epidemiological design. Animal studies, case reports, editorials, com- ments, review articles and meta-analyses were excluded as well as abstracts and unpublished studies.""","0 = ”No” = no mention of a priori design of the systematic review, as listed above.",not mentioned,0 = ”No” = no justification of the study designs/types included in the review.,"described, but not explicitly justified","0.5 = “Can’t answer / not sure / partially” = searched at least 2 databases (relevant to research question), provided key word and/or general search strategy, justified publication restrictions (e.g., language).","MEDLINE and EMBASE databases, snowballing","1 = “Yes” = either ONE of the following: at least two reviewers independently agreed on selection of eligible studies and achieved consensus on which studies to include OR two reviewers selected a sample of eligible studies and achieved good agreement (at least 80%), with the remainder selected by one reviewer.","""Two of the authors performed the search and selection process independently.""","1 = “Yes” = either ONE of the following: at least two reviewers achieved consensus on which data to extract from included studies OR two reviewers extracted data from a sample of eligible studies and achieved good agreement (at least 8 %), with the remainder extracted by one reviewer.","""Two of the authors (CCB and AV) abstracted data in duplicate """,0 = ”No” = No list of studies excluded at a full-text stage.,not provided,"1 = “Yes” = ALL the following: Who (Population), What (Intervention, Comparator group, Outcome), Where and When described in detail.",Tables in main text and SI,1 = “Yes” = specifically mentions RoB assessment of individual included studies.,"""The risk of selection and information bias as well as confounding was assessed. We defined selection bias as any bias due to participation depending on both the levels of PFASs and the outcomes under study. The risk of potential differential and non-differential measurement error and misclassification of exposures and outcomes were evaluated. We defined confounders as common causes of exposures and outcomes. """,0 = ”No” = no report of the sources of funding for individual studies included in the review.,not extracted,N/A = “Not Applicable” = No meta-analysis conducted.,no MA,N/A = “Not Applicable” = No meta-analysis conducted.,no MA,1 = “Yes” = included only low risk of bias studies OR the review provided a discussion of the likely impact of RoB on the results.,"discussed, eg.: ""For the studies where partici- pation may have depended on the outcomes under study, it is unknown whether selection may also have been affected by PFAS levels, and therefore whether considerable selection bias may be present.
Confounding, i.e., unaccounted common causes of PFAS levels and the studied outcomes, might have affected the results of the included studies. ""","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","not explicitly investigated, but discussed: ""the overall evidence concerning PFAS exposure and sperm morphology is inconsistent. Other semen characteristics were not consistently associated with exposure to any PFASs. A couple of studies indicated that PFOS may be associated with lower levels of androgens, but several other studies did not replicate this finding. Associations between PFAS exposure and other reproductive hormone levels were inconsistent across studies. """,N/A = “Not Applicable” = No meta-analysis conducted.,no MA,1 = “Yes” = The authors reported no competing interests OR the authors described their funding sources and how they managed potential conflicts of interest.,statement of no conflict provided,
S_008,"1 = “Yes” = Who (Population/Subject), What (Intervention, Comparator group, Outcome), Where and When described.",Eligibility criteria section,"0.5 = “Can’t answer / not sure / partially” = The authors state that they had a written protocol or guide that included ALL the following: review question(s), a search strategy, inclusion/exclusion criteria, a risk of bias assessment.","""Several criteria for inclusion of studies in the sys- tematic review were defined a priori."", protocol not mentioned explicitly",0 = ”No” = no justification of the study designs/types included in the review.,"""Exclusion criteria: (1) In vitro and in vivo experimental studies in animals or humans."", not justified","0.5 = “Can’t answer / not sure / partially” = searched at least 2 databases (relevant to research question), provided key word and/or general search strategy, justified publication restrictions (e.g., language).","PubMed and Embase, citations","1 = “Yes” = either ONE of the following: at least two reviewers independently agreed on selection of eligible studies and achieved consensus on which studies to include OR two reviewers selected a sample of eligible studies and achieved good agreement (at least 80%), with the remainder selected by one reviewer.","""After removal of duplicates (n = 48), two authors screened titles and abstracts independently...""","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","For quality assessment: ""Two authors completed the forms separately and without blinding."", unclear for other extractions.",1 = “Yes” = provided a list of all potentially relevant studies that were read in full-text form but excluded from the review AND justified the exclusion from the review of each potentially relevant study.,Table S2,"1 = “Yes” = ALL the following: Who (Population), What (Intervention, Comparator group, Outcome), Where and When described in detail.","Tables 1-4, S3-S5",1 = “Yes” = specifically mentions RoB assessment of individual included studies.,"Tables S - A, B, C",0 = ”No” = no report of the sources of funding for individual studies included in the review.,not extracted,N/A = “Not Applicable” = No meta-analysis conducted.,no MA,N/A = “Not Applicable” = No meta-analysis conducted.,no MA,1 = “Yes” = included only low risk of bias studies OR the review provided a discussion of the likely impact of RoB on the results.,"discussed, e.g. ""Bias from residual confounding was a major con- cern across most of the included studies.""","0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.","discussed, e.g. ""Further, the selection of specific study popula- tions potentially compromised generalizability of results and, hereby, the external validity of several investigations.""",N/A = “Not Applicable” = No meta-analysis conducted.,no MA,"0.5 = “Can’t answer / not sure / partially” = Cannot decide between “yes” and “no”, basing on the information provided in the paper.",only funding described,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
